labelset,cell_label,cell_set_accession,parent_cell_set_accession,Cluster ID,Supercluster,Class auto-annotation,Neurotransmitter auto-annotation,Neuropeptide auto-annotation,Subtype auto-annotation,Transferred MTG Label,Top three regions,Top three dissections,Top Enriched Genes,Number of cells,DoubletFinder score,Total UMI,Fraction unspliced,Fraction mitochondrial,H19.30.002,H19.30.001,H18.30.002,H18.30.001,Fraction cells from top donor,Number of donors
cluster,CGE_280,CS202210140_281,CS202210140_486,280.0,CGE interneuron,NEUR,GABA,CCK CHGA CHGB CRH IGF NAMPT NUCB PNOC SCG UBL VIP proSAAS,INT-VIP,,"Cerebral cortex: 73.7%, Amygdala: 13.3%, Hippocampus: 7.8%","Human MEC: 7.2%, Human Pir: 6.0%, Human LEC: 5.6%","AC006305.1, LINC01416, AL391832.4, LINC01905, SP8, DCN, CHRNB3, CXCL14, CHRNA7, CRH",5106.0,0.028911344,15170.43596,0.673662021,0.009611395,1563.0,1818.0,1695.0,30.0,0.356051704,4.0
cluster,CGE_281,CS202210140_282,CS202210140_486,281.0,CGE interneuron,NEUR,GABA,CCK CHGA CHGB CRH IGF NAMPT NUCB PNOC SCG UBL VIP proSAAS,INT-VIP,,"Cerebral cortex: 70.5%, Amygdala: 13.0%, Hippocampus: 10.6%","Human Pir: 5.7%, Human MEC: 4.6%, Human M1C: 4.5%","HTR3A, AC004862.1, AL139090.1, HGFAC, AL391832.4, CHRNA6, EDNRA, AC006305.1, CHRNB3, TNFAIP8L3",2234.0,0.055126322,21801.3581,0.702684747,0.010584575,678.0,749.0,774.0,33.0,0.346463742,4.0
cluster,CGE_282,CS202210140_283,CS202210140_486,282.0,CGE interneuron,NEUR,GABA,CCK CHGA CHGB CRH IGF NAMPT NUCB PNOC SCG UBL proSAAS,,Sncg,"Cerebral cortex: 82.6%, Hippocampus: 11.9%, Amygdala: 2.2%","Human A32: 5.2%, Human MTG: 5.1%, Human M1C: 4.8%","AC004862.1, AC091576.1, ADAM33, CXCL14, NDNF, AL139090.1, AL391832.4, AC073316.1, ARHGAP36, AC068633.1",10065.0,0.022418843,11794.50094,0.687094575,0.007963189,3030.0,3864.0,3070.0,101.0,0.38390462,4.0
cluster,CGE_283,CS202210140_284,CS202210140_486,283.0,CGE interneuron,NEUR,GABA,CCK CHGA CHGB IGF NAMPT NUCB NXPH PNOC SCG SST UBL VGF proSAAS,,Sncg,"Cerebral cortex: 81.0%, Hippocampus: 9.3%, Amygdala: 5.0%","Human MTG: 5.2%, Human A32: 4.5%, Human MEC: 4.1%","CXCL14, AC004862.1, BAGE2, PCDH18, AL139090.1, AL356585.4, AL391832.4, SGO1-AS1, AC073316.1, KMO",10636.0,0.023720415,12154.83847,0.691814816,0.006783374,3332.0,3837.0,3348.0,119.0,0.360755923,4.0
cluster,CGE_284,CS202210140_285,CS202210140_486,284.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB IGF NAMPT NPPC NUCB NXPH PNOC PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 74.7%, Amygdala: 9.9%, Hippocampus: 9.3%","Human M1C: 5.9%, Human MEC: 5.8%, Human MTG: 4.9%","AC011990.1, PCDH18, CXCL14, LINC01931, KMO, PTGFR, LINC02397, AL136114.1, LINC02144, VIP",9109.0,0.028755245,14202.82676,0.697711902,0.006153901,2906.0,2946.0,3029.0,228.0,0.332528269,4.0
cluster,CGE_285,CS202210140_286,CS202210140_486,285.0,CGE interneuron,NEUR,GABA,CCK CHGA CHGB IGF NAMPT NUCB NXPH PENK PNOC SCG TAC UBL VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 62.9%, Hippocampus: 22.3%, Amygdala: 9.5%","Human M1C: 7.7%, Human CA1C-CA3C: 5.2%, Human MEC: 4.2%","PTGFR, PENK, PCDH18, LINC01497, NR2E1, OSTM1-AS1, VIP, CXCL14, AC008798.3, HTR3A",4688.0,0.049199053,18438.03029,0.675419854,0.007864524,1425.0,1530.0,1573.0,160.0,0.335537543,4.0
cluster,CGE_286,CS202210140_287,CS202210140_486,286.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CORT CRH IGF NAMPT NPW NPY NUCB NXPH PNOC SCG SST UBL VGF proSAAS,INT-LAMP5,Lamp5,"Cerebral cortex: 70.6%, Hippocampus: 13.8%, Amygdala: 10.2%","Human MEC: 5.8%, Human M1C: 5.5%, Human MTG: 4.3%","NDNF, CXCL14, AC005064.1, RELN, NMBR, LINC00298, MYH11, AC092819.3, NR2E1, SLC25A48",15597.0,0.024459031,14374.56504,0.669024758,0.009984836,4793.0,5425.0,5142.0,237.0,0.347823299,4.0
cluster,CGE_287,CS202210140_288,CS202210140_486,287.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CORT CRH IGF NAMPT NUCB NXPH SCG SST UBL proSAAS,INT-LAMP5,Lamp5,"Cerebral cortex: 53.6%, Amygdala: 17.5%, Hippocampus: 15.0%","Human M1C: 6.2%, Human MEC: 5.8%, Human BL: 4.1%","MYH11, LINC00298, HAPLN1, AC092819.3, AC137770.1, EYA4, KIT, TRPC3, AC132803.1, RELN",18571.0,0.01761695,14697.86716,0.689202846,0.008853232,6239.0,5996.0,5950.0,386.0,0.335953907,4.0
cluster,CGE_288,CS202210140_289,CS202210140_486,288.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CORT CRH IGF NAMPT NUCB NXPH SCG UBL proSAAS,INT-LAMP5,Lamp5,"Cerebral cortex: 70.6%, Amygdala: 13.7%, Hippocampus: 6.3%","Human M1C: 7.3%, Human MTG: 5.0%, Human MEC: 4.7%","HAPLN1, AC137770.1, LINC00298, AC132803.1, KIT, PKP2, EYA4, ROR2, NXPH2, GRPR",24831.0,0.014070101,14227.45951,0.665533011,0.008214529,8063.0,8313.0,7588.0,867.0,0.334783134,4.0
cluster,CGE_289,CS202210140_290,CS202210140_486,289.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NPPC NUCB NXPH PNOC PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 82.1%, Hippocampus: 7.9%, Amygdala: 5.8%","Human M1C: 7.0%, Human MTG: 6.6%, Human MEC: 4.8%","TAC3, AC011990.1, KMO, AJ006995.1, SCTR, SHISA8, SLC22A3, AL450338.2, LINC02488, DCN",14326.0,0.018943249,11952.28905,0.690666577,0.005520135,4586.0,4804.0,4552.0,384.0,0.335334357,4.0
cluster,CGE_290,CS202210140_291,CS202210140_486,290.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NPPC NUCB NXPH PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 83.0%, Hippocampus: 8.5%, Amygdala: 5.2%","Human MTG: 7.1%, Human M1C: 5.4%, Human A40: 3.9%","SHISA8, VIP, SCTR, FLT1, SLC22A3, KMO, PTHLH, GGT4P, CXCL12, LINC02488",20794.0,0.016590896,12325.80393,0.663485713,0.006771221,6625.0,7226.0,6588.0,355.0,0.347504088,4.0
cluster,CGE_291,CS202210140_292,CS202210140_486,291.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NUCB PNOC PTHLH SCG UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 75.1%, Hippocampus: 14.3%, Amygdala: 7.1%","Human MTG: 6.3%, Human M1C: 5.2%, Human MEC: 4.6%","Z83818.2, NPR3, KMO, AL391832.4, AL136114.1, EDNRA, SLC10A4, AC013265.1, PCDH18, TMEM100",12240.0,0.032711828,17173.11985,0.66969507,0.008565346,3469.0,4497.0,4041.0,233.0,0.367401961,4.0
cluster,CGE_292,CS202210140_293,CS202210140_486,292.0,CGE interneuron,NEUR,GABA,AGT CBLN CCK CHGA CHGB CRH IGF NAMPT NUCB PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 86.1%, Hippocampus: 7.4%, Amygdala: 3.1%","Human MTG: 7.0%, Human M1C: 6.1%, Human A29-A30: 4.3%","NPR3, VIP, PPP1R1C, AC020930.1, CHRNA2, AC013265.1, SP8, CRH, AL391832.4, AC062021.1",12439.0,0.026521719,13349.67497,0.652181757,0.010009452,3826.0,4546.0,3804.0,263.0,0.365463462,4.0
cluster,CGE_293,CS202210140_294,CS202210140_486,293.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NPPC NUCB PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 70.3%, Hippocampus: 15.1%, Amygdala: 8.5%","Human MEC: 5.0%, Human MTG: 5.0%, Human M1C: 4.3%","VIP, PTHLH, TAC3, AC020930.1, IQGAP2, HS3ST3A1, AC013265.1, AL391832.4, LAMA3, SLC22A3",20104.0,0.019949857,12579.63594,0.652113814,0.006472456,6457.0,7124.0,6255.0,268.0,0.354357342,4.0
cluster,CGE_294,CS202210140_295,CS202210140_486,294.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NPPC NUCB PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 64.4%, Hippocampus: 14.7%, Amygdala: 10.8%","Human MEC: 5.3%, Human M1C: 5.2%, Human Cla: 4.7%","VIP, ABI3BP, PTHLH, IQGAP2, TAC3, CRH, DLX1, AC104129.1, NPR3, LAMA3",14134.0,0.024769001,14501.19577,0.644188896,0.009407208,4558.0,4629.0,4606.0,341.0,0.327508136,4.0
cluster,CGE_295,CS202210140_296,CS202210140_486,295.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NPPC NUCB PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 67.0%, Amygdala: 17.8%, Hippocampus: 8.6%","Human M1C: 5.2%, Human MEC: 5.2%, Human BL: 4.2%","VIP, EREG, CRH, AC013265.1, TAC3, SLC6A2, AC062021.1, AL391832.4, SP8, PTHLH",4922.0,0.02144311,12338.01727,0.643081416,0.010322101,1571.0,1767.0,1520.0,64.0,0.359000406,4.0
cluster,CGE_296,CS202210140_297,CS202210140_486,296.0,CGE interneuron,NEUR,GABA,CBLN CCK CHGA CHGB CRH IGF NAMPT NPPC NUCB NXPH PTHLH SCG TAC UBL VGF VIP proSAAS,INT-VIP,Vip,"Cerebral cortex: 72.9%, Amygdala: 10.5%, Hippocampus: 9.0%","Human M1C: 8.1%, Human MEC: 6.2%, Human MTG: 4.7%","EREG, VIP, TAC3, IQGAP2, AREG, CXCL14, PTHLH, AC011990.1, SP8, NPR3",9524.0,0.025077632,12499.38608,0.658416429,0.009640799,2933.0,3154.0,3154.0,283.0,0.331163377,4.0
cluster,URL_297,CS202210140_298,CS202210140_487,297.0,Upper rhombic lip,,VGLUT1,CHGA CHGB GRP NUCB NXPH SCG UBL proSAAS,,,"Midbrain: 97.1%, Thalamus: 2.9%, Cerebral cortex: 0.0%","Human SC: 73.5%, Human SN: 20.6%, Human PAG: 2.9%","TPH1, RBP3, AC004852.2, GABRR3, AQP3, NEUROG1, ETV3L, AC063980.1, CACNA2D4, ASB15-AS1",34.0,0.012989196,7235.0,0.62555681,0.009278073,26.0,0.0,8.0,0.0,0.764705882,2.0
cluster,CBI_298,CS202210140_299,CS202210140_488,298.0,Cerebellar inhibitory,NEUR,GLY,CHGA CHGB IGF NAMPT NUCB NXPH PNOC SCG TAC UBL VGF proSAAS,CB-PurkLayerInt,,"Pons: 82.7%, Cerebellum: 11.0%, Medulla: 4.1%","Human PnEN: 27.0%, Human PB: 21.4%, Human PnAN: 18.2%","SLC6A5, PAX2, TRPM8, AL357507.1, LINC00410, TFAP2B, AC080079.2, TFAP2A, IGFBP7-AS1, CHAT",318.0,0.106728856,14667.83333,0.679520558,0.009711325,91.0,101.0,125.0,1.0,0.393081761,4.0
cluster,CBI_299,CS202210140_300,CS202210140_488,299.0,Cerebellar inhibitory,NEUR,GLY,CHGA CHGB NAMPT NMU NUCB NXPH PNOC PTHLH SCG UBL VGF proSAAS,CB-PurkLayerInt,,"Cerebellum: 71.1%, Pons: 20.4%, Midbrain: 4.5%","Human CbDN: 64.6%, Human PnEN: 7.1%, Human PB: 6.6%","SLC6A5, PAX2, TFAP2B, IGF2BP2, TFAP2A, GBA3, INHBA, LIPG, ANGPT1, BHLHE22",560.0,0.12212334,18613.73929,0.676009731,0.01561171,133.0,81.0,340.0,6.0,0.607142857,4.0
cluster,CBI_300,CS202210140_301,CS202210140_488,300.0,Cerebellar inhibitory,NEUR,GABA,CHGA CHGB NAMPT NUCB NXPH PTHLH SCG UBL VGF proSAAS,CB-PurkLayerInt,,"Cerebellum: 61.4%, Pons: 32.9%, Midbrain: 3.2%","Human CbDN: 58.9%, Human PnEN: 12.4%, Human PnRF: 8.1%","PAX2, SLC4A11, TFAP2B, NDNF, TFAP2A, IL15, SRD5A2, BHLHE22, ANGPT1, SLC22A3",1194.0,0.081630989,14621.85595,0.677045393,0.014861656,226.0,205.0,763.0,0.0,0.639028476,3.0
cluster,CBI_301,CS202210140_302,CS202210140_488,301.0,Cerebellar inhibitory,NEUR,GLY,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH PENK SCG UBL proSAAS,CB-MolLayerInt1,,"Pons: 92.6%, Medulla: 6.6%, Cerebral cortex: 0.7%","Human PnEN: 37.5%, Human PnAN: 26.5%, Human DTg: 16.9%","SLC6A5, TFAP2B, AC104574.2, PAX2, TFAP2A, BHLHE22, AC090796.1, XDH, AC018618.1, LBX1-AS1",136.0,0.106261728,12568.54412,0.659070076,0.032567409,53.0,28.0,54.0,1.0,0.397058824,4.0
cluster,CBI_302,CS202210140_303,CS202210140_488,302.0,Cerebellar inhibitory,NEUR,GLY,CHGA CHGB NAMPT NPPC NUCB NXPH PENK SCG UBL VGF proSAAS,CB-GranLayerInt,,"Cerebellum: 60.1%, Medulla: 19.0%, Pons: 15.3%","Human CBV: 42.3%, Human CBL: 12.9%, Human IO: 7.7%","CPLX4, AC010476.2, SLC6A5, PAX2, AC008725.1, AC068672.2, TFAP2B, LINC01179, AL139351.3, LGI2",248.0,0.11472204,25470.06048,0.686709433,0.008125357,69.0,113.0,66.0,0.0,0.455645161,3.0
cluster,CBI_303,CS202210140_304,CS202210140_488,303.0,Cerebellar inhibitory,,GABA,CHGB NAMPT NPPC NUCB PTHLH UBL proSAAS,CB-MolLayerInt1,,"Cerebellum: 96.8%, Pons: 1.5%, Medulla: 1.0%","Human CBV: 93.3%, Human CBL: 3.5%, Human PnEN: 0.7%","TFAP2B, AC010476.2, SCGN, AL162718.1, LIPG, XDH, LMCD1, TFAP2A, IL15, LRRC38",1439.0,0.064571942,16342.6435,0.689867796,0.006499682,410.0,913.0,116.0,0.0,0.634468381,3.0
cluster,CBI_304,CS202210140_305,CS202210140_488,304.0,Cerebellar inhibitory,,GABA,CHGB NAMPT NPPC NUCB UBL proSAAS,CB-MolLayerInt1,,"Cerebellum: 95.5%, Pons: 2.4%, Medulla: 1.8%","Human CBV: 87.2%, Human CBL: 8.3%, Human PnAN: 1.4%","SCGN, TFAP2B, LMCD1, LIPG, AL162718.1, CLCNKA, LRRC38, TFAP2A, BHLHE22, AC010476.2",719.0,0.070576837,15137.58136,0.698179319,0.007348323,235.0,409.0,75.0,0.0,0.568845619,3.0
cluster,CBI_305,CS202210140_306,CS202210140_488,305.0,Cerebellar inhibitory,NEUR,GABA,CHGB NAMPT NPPC NUCB NXPH UBL proSAAS,CB-MolLayerInt1 CB-MolLayerInt2,,"Cerebellum: 88.0%, Pons: 4.7%, Midbrain: 3.7%","Human CBV: 79.1%, Human CBL: 7.9%, Human IC: 3.7%","SCGN, TFAP2B, LIPG, LRRC38, LBX1-AS1, BHLHE22, LINC02058, LHX1, LMCD1, EN2",191.0,0.063885852,10286.41885,0.691281547,0.005822935,62.0,103.0,26.0,0.0,0.539267016,3.0
cluster,CBI_306,CS202210140_307,CS202210140_488,306.0,Cerebellar inhibitory,,GABA,CHGB NAMPT NPPC NUCB UBL proSAAS,CB-MolLayerInt1,,"Cerebellum: 91.6%, Pons: 3.4%, Medulla: 3.3%","Human CBV: 84.2%, Human CBL: 7.2%, Human PnEN: 1.5%","SCGN, TFAP2B, LIPG, LMCD1, LRRC38, BHLHE22, TFAP2A, LBX1-AS1, EN2, CHRNA3",6586.0,0.032917147,11581.40525,0.685361124,0.009359864,2336.0,3636.0,614.0,0.0,0.55208017,3.0
cluster,CBI_307,CS202210140_308,CS202210140_488,307.0,Cerebellar inhibitory,NEUR,GABA,CHGB NAMPT NUCB NXPH UBL VGF proSAAS,CB-MolLayerInt2,,"Cerebellum: 70.3%, Medulla: 12.1%, Pons: 11.7%","Human CBV: 58.9%, Human CBL: 10.0%, Human PnEN: 5.7%","SCGN, TFAP2B, LINC00492, TFAP2A, TPTE2P4, CLCNKA, LIPG, LRRC38, LINC02552, LBX1-AS1",3020.0,0.07165024,11223.72881,0.683430314,0.011318143,1353.0,1178.0,489.0,0.0,0.448013245,3.0
cluster,URL_308,CS202210140_309,CS202210140_487,308.0,Upper rhombic lip,,VGLUT1,ADCYAP AGT CBLN CHGA CHGB NAMPT NUCB SCG UBL proSAAS,UBC,,"Cerebellum: 84.5%, Pons: 10.2%, Medulla: 3.6%","Human CBV: 77.8%, Human PnAN: 6.8%, Human CBL: 5.8%","AC017037.5, AC084740.1, EOMES, LMX1A, AL359208.1, CSRP2, AC092957.1, AC108517.2, MPP3, ITGBL1",920.0,0.127569232,14091.13804,0.68030335,0.007427872,196.0,484.0,231.0,9.0,0.526086957,4.0
cluster,URL_309,CS202210140_310,CS202210140_487,309.0,Upper rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CBLN CHGB GRP NAMPT NUCB NXPH PENK TRH UBL proSAAS,,,"Pons: 89.0%, Cerebellum: 8.6%, Medulla: 1.6%","Human PnEN: 37.8%, Human PnAN: 28.2%, Human PB: 12.3%","AC017037.5, AC108517.2, AC084740.1, LMX1A, ABCA13, AC092957.1, TMEM255B, CBLN1, CPLX4, AC080079.2",373.0,0.142193725,7005.08311,0.643623167,0.009488717,148.0,82.0,143.0,0.0,0.396782842,3.0
cluster,URL_310,CS202210140_311,CS202210140_487,310.0,Upper rhombic lip,NEUR,VGLUT1,AGT CBLN CHGB NUCB UBL proSAAS,CB-GRAN,,"Cerebellum: 52.4%, Pons: 26.2%, Medulla: 15.1%","Human CBV: 34.8%, Human PnAN: 19.7%, Human CbDN: 13.1%","CBLN3, AC092957.1, CRTAM, AC021698.1, LINC01036, AC073225.1, LINC01798, SLC22A31, AC044798.3, AC020659.1",33405.0,0.059635721,4860.387008,0.66959688,0.008784351,11073.0,12928.0,9319.0,85.0,0.387007933,4.0
cluster,URL_311,CS202210140_312,CS202210140_487,311.0,Upper rhombic lip,NEUR,VGLUT1,AGT CBLN CHGB NUCB proSAAS,CB-GRAN,,"Cerebellum: 72.7%, Medulla: 10.3%, Pons: 8.2%","Human CBV: 33.7%, Human CBL: 23.0%, Human CbDN: 16.1%","CBLN3, AC073225.1, AC092957.1, CRTAM, SLC22A31, CDH15, PRR35, LINC01798, FAT2, AC044798.3",97038.0,0.03567256,4259.216379,0.665903135,0.007728036,38422.0,35215.0,23400.0,1.0,0.395947979,4.0
cluster,URL_312,CS202210140_313,CS202210140_487,312.0,Upper rhombic lip,NEUR,VGLUT1,AGT CBLN CHGB UBL proSAAS,CB-GRAN,,"Medulla: 61.0%, Pons: 34.8%, Cerebellum: 3.6%","Human MoAN: 47.2%, Human PnAN: 33.2%, Human MoSR: 8.2%","TTR, CBLN3, AC073225.1, AC092957.1, MSR1, CRTAM, LINC01798, AL359208.1, AC044798.3, SLC22A31",5392.0,0.021201866,3446.683791,0.661575021,0.005855835,979.0,2905.0,1508.0,0.0,0.538761128,3.0
cluster,Splat_313,CS202210140_314,CS202210140_483,313.0,Splatter,NEUR,VGLUT2,ADCYAP CHGB NAMPT NPPC NUCB SCG UBL proSAAS,,,"Hippocampus: 41.6%, Cerebral cortex: 36.5%, Amygdala: 7.6%","Human MEC: 14.5%, Human CA4C-DGC: 10.7%, Human DGR-CA4Rpy: 6.7%","AL592463.1, AGTR1, NDNF, TP73, AIM2, PRPH, LINC02770, AC005064.1, LINC01133, SCUBE1",449.0,0.028964187,16283.73051,0.632014456,0.012839282,173.0,152.0,124.0,0.0,0.385300668,3.0
cluster,Misc_314,CS202210140_315,CS202210140_463,314.0,Miscellaneous,NEUR,GABA,ADCYAP CHGB IGF KISS NAMPT NPPC NUCB TAC UBL proSAAS,CB-PURK,,"Medulla: 35.7%, Pons: 33.3%, Cerebellum: 26.2%","Human CBV: 23.8%, Human PnAN: 21.4%, Human MoAN: 16.7%","PCP2, TRABD2B, ZNF385C, AL109659.1, ATP2A3, LINC02794, IL20RA, NCAM1-AS1, AC092448.1, GNG13",42.0,0.080983627,38316.85714,0.691359334,0.003015874,9.0,29.0,4.0,0.0,0.69047619,3.0
cluster,LRL_315,CS202210140_316,CS202210140_489,315.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CALCB CART CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 95.9%, Medulla: 1.9%, Cerebral cortex: 1.5%","Human PnEN: 47.2%, Human DTg: 31.1%, Human PN: 9.4%","ADAMTS20, LINC00616, AL139351.3, BARHL1, IRX2, ADGRD2, EGFLAM, AC093765.2, C6orf141, LINC02381",267.0,0.053417568,25812.50936,0.698162085,0.003980108,27.0,73.0,163.0,4.0,0.610486891,4.0
cluster,LRL_316,CS202210140_317,CS202210140_489,316.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CALCB CBLN CHGA CHGB CRH GAL IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 76.6%, Medulla: 22.0%, Midbrain: 0.6%","Human PnEN: 53.4%, Human MoAN: 10.7%, Human DTg: 8.7%","ADAMTS20, NTRK1, AL139351.3, INSRR, BARHL1, AC022239.1, AL359208.1, CDH23, IRX2, HOXD3",1939.0,0.097624114,41527.00155,0.700591434,0.008169665,193.0,542.0,1194.0,10.0,0.615781331,4.0
cluster,LRL_317,CS202210140_318,CS202210140_489,317.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CALCB CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 97.6%, Medulla: 2.1%, Midbrain: 0.2%","Human PnRF: 36.1%, Human PnEN: 23.6%, Human PN: 22.5%","BMP5, ADAMTS20, AL139351.3, AC093765.2, INSRR, LINC00836, CDH23, AC136431.1, IRX2, EGFLAM",4858.0,0.079877572,34622.50535,0.735460061,0.004076712,586.0,1836.0,2436.0,0.0,0.501440922,3.0
cluster,LRL_318,CS202210140_319,CS202210140_489,318.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 98.8%, Medulla: 0.7%, Midbrain: 0.5%","Human PN: 54.9%, Human PnEN: 17.1%, Human DTg: 14.1%","AC093765.2, AL139351.3, ADAMTS20, LINC00836, LINC00210, BMP5, AC136431.1, BARHL1, LINC00355, IRX2",7999.0,0.061646934,29694.76985,0.691604976,0.004363006,1089.0,3570.0,3340.0,0.0,0.446305788,3.0
cluster,LRL_319,CS202210140_320,CS202210140_489,319.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 97.8%, Midbrain: 1.2%, Medulla: 1.0%","Human PN: 45.9%, Human PnEN: 25.5%, Human PnRF: 15.0%","LINC00355, IRX2, AL139351.3, AC136431.1, AC093765.2, S100A10, ADAMTS20, LINC02476, CDH23, BARHL1",8164.0,0.059533137,24030.20884,0.705006169,0.005645585,1001.0,3755.0,3408.0,0.0,0.459946105,3.0
cluster,LRL_320,CS202210140_321,CS202210140_489,320.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 90.4%, Medulla: 6.2%, Basal forebrain: 3.2%","Human PN: 27.7%, Human PnEN: 25.8%, Human PnRF: 21.5%","AL139351.3, AC093765.2, IRX2, LINC00355, LINC02476, AC136431.1, BMP5, TINAG, HOXC4, LINC00363",27800.0,0.055777026,23116.21978,0.693157777,0.006240698,3911.0,10783.0,13106.0,0.0,0.471438849,3.0
cluster,LRL_321,CS202210140_322,CS202210140_489,321.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 95.9%, Medulla: 3.3%, Midbrain: 0.4%","Human PnEN: 40.4%, Human PN: 30.9%, Human DTg: 13.1%","IRX2, AL139351.3, GADL1, AC136431.1, NLRP1, CDH23, LINC02476, LINC01798, INSRR, VEPH1",1119.0,0.071601963,30917.77927,0.712683024,0.010503186,78.0,208.0,832.0,1.0,0.743521001,4.0
cluster,LRL_322,CS202210140_323,CS202210140_489,322.0,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,ADCYAP AGT CALCB CART CBLN CHGA CHGB CRH IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,,,"Pons: 83.9%, Medulla: 15.5%, Cerebral cortex: 0.4%","Human PnEN: 48.0%, Human DTg: 22.6%, Human MoRF-MoEN: 8.5%","LINC01982, AL359208.1, BMP5, AC007422.1, ADAMTS20, SLC5A7, EGFLAM, AL139351.3, INSRR, NTRK1",504.0,0.097599468,35798.22421,0.741762839,0.009281625,32.0,73.0,397.0,2.0,0.787698413,4.0
cluster,Mmb_323,CS202210140_324,CS202210140_490,323.0,Mammillary body,NEUR,VGLUT2,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG TAC TRH UBL VGF proSAAS,,,"Hypothalamus: 99.7%, Thalamus: 0.2%, Midbrain: 0.2%","Human MN: 49.2%, Human HTHma-HTHtub: 39.6%, Human HTHma: 7.5%","AC244258.1, FOXB1, AL691420.1, PITX2, LHX1-DT, LHX1, DRD3, ADGRD1, STAC, AL139231.1",654.0,0.032370031,31826.59633,0.69425843,0.005184523,47.0,309.0,298.0,0.0,0.472477064,3.0
cluster,Mmb_324,CS202210140_325,CS202210140_490,324.0,Mammillary body,NEUR,VGLUT2,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH SCG TAC TRH UBL VGF proSAAS,,,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human MN: 52.3%, Human HTHma-HTHtub: 34.2%, Human HTHma: 13.5%","LINC00410, AC244258.1, PITX2, FOXB1, TNFRSF11B, AL691420.1, LHX1-DT, LHX1, DRD3, MYO5B",3071.0,0.033513514,40205.15467,0.693367268,0.007288642,345.0,1466.0,1260.0,0.0,0.477368935,3.0
cluster,Mmb_325,CS202210140_326,CS202210140_490,325.0,Mammillary body,NEUR,VGLUT2,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG TAC TRH UBL VGF proSAAS,,,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human MN: 50.6%, Human HTHma-HTHtub: 43.4%, Human HTHma: 6.0%","LINC00410, AC244258.1, FSHR, PITX2, FOXB1, TNFRSF11B, AL691420.1, AC009975.1, LHX1-DT, LHX1",2155.0,0.036157773,38953.17773,0.682623175,0.008160953,219.0,1064.0,872.0,0.0,0.493735499,3.0
